song_name,artist_name,artist_pop,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,90,Justice,0.677,0.696,-6.181,0.119,0.321,0,0.42,0.464,90.03,198082
positions,Ariana Grande,87,positions,0.736,0.802,-4.759,0.0864,0.468,0,0.094,0.675,144.005,172325
Slow Down,Coopex,60,Slow Down,0.715,0.72,-3.906,0.193,0.134,0,0.366,0.41,128.048,138779
What If,HOURS,35,What If,0.609,0.777,-5.879,0.0353,0.00162,1.28e-06,0.073,0.349,126.001,154286
Running Away,VANO 3000,55,Running Away,0.58,0.696,-10.91,0.0408,0.66,0.852,0.145,0.721,93.688,111787
Aesthetic,Xilo,39,Aesthetic,0.714,0.594,-10.63,0.43,0.965,0.255,0.129,0.45,169.837,158436
Levitating (feat. DaBaby),Dua Lipa,88,Future Nostalgia,0.702,0.825,-3.787,0.0601,0.00883,0,0.0674,0.915,102.977,203064
Work from Home,Coopex,60,Work from Home,0.845,0.669,-7.886,0.0658,0.181,0.00347,0.0897,0.86,125.014,151680
Bundles (feat. Taylor Girlz),Kayla Nicole,54,Bundles (feat. Taylor Girlz),0.939,0.682,-5.931,0.306,0.00152,0,0.0552,0.584,130.022,154806
Sweater Weather,The Neighbourhood,83,I Love You.,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400
As It Was,Michael Shynes,52,As It Was,0.595,0.812,-5.623,0.0481,0.00321,1.38e-06,0.397,0.483,104.98,124571
Follow Me,Senhit,44,Follow Me,0.707,0.867,-4.355,0.05,0.00453,0.00135,0.123,0.485,122.014,158247
Calling My Phone,Lil Tjay,79,Calling My Phone,0.907,0.393,-7.636,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458
Wicked Game,YES YES,54,Wicked Game,0.755,0.835,-6.727,0.0537,0.0202,0.000999,0.145,0.471,125.005,143040
You Right,Doja Cat,88,Planet Her,0.828,0.621,-6.414,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173
Whoopty,CJ,63,Whoopty,0.719,0.648,-7.6,0.125,0.2,0,0.127,0.66,140.201,123263
Electric Love,BØRNS,67,Dopamine,0.611,0.797,-7.627,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107
When Hello Means Goodbye,Alex Alexander,46,On My Way,0.741,0.475,-7.665,0.205,0.0214,0,0.351,0.597,166.016,158160
More Than A Woman - From "Saturday Night Fever" Soundtrack,Bee Gees,75,How Can You Mend A Broken Heart,0.601,0.703,-6.24,0.0379,0.175,8.4e-05,0.571,0.673,106.164,196213
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,68,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153
Hawái,Maluma,83,PAPI JUANCHO,0.783,0.727,-3.454,0.389,0.185,2.46e-05,0.0626,0.558,180.067,199112
Mood (feat. iann dior),24kGoldn,74,Mood (feat. iann dior),0.7,0.722,-3.558,0.0369,0.221,0,0.272,0.756,90.989,140526
Paid,Astelle,32,Paid,0.861,0.631,-10.286,0.23,0.0188,0.000283,0.0954,0.675,117.993,180923
drivers license,Olivia Rodrigo,85,drivers license,0.585,0.436,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014
Lemonade,Internet Money,72,Lemonade (feat. Gunna, Don Toliver & NAV),0.799,0.66,-6.153,0.079,0.256,0,0.111,0.471,140.04,195429
K Boy Bye,Astelle,32,K Boy Bye,0.547,0.865,-5.058,0.0483,0.0141,0,0.245,0.638,159.87,166354
Up,Cardi B,81,Up (Instrumental),0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945
Just The Two of Us,Kauai45,50,Just The Two of Us,0.592,0.214,-13.468,0.115,0.936,1.62e-05,0.253,0.422,81.672,117037
Play With Me,Ana Shine,39,Play With Me,0.714,0.666,-6.012,0.0756,0.223,0,0.102,0.486,95.065,178261
Best Friend (feat. Doja Cat),Saweetie,73,Best Friend (feat. Doja Cat) [Remix EP],0.84,0.766,-4.12,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,155884
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,68,The Papercut Chronicles,0.72,0.744,-6.938,0.12,0.237,0,0.255,0.619,78.953,243773
Forever,Nadia Gattas,46,Forever,0.75,0.879,-4.88,0.0427,0.0233,0,0.193,0.333,124.038,181308
The Business,Tiësto,82,The Business,0.798,0.62,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031,164000
telepatía,Kali Uchis,78,Sin Miedo (del Amor y Otros Demonios) ∞,0.653,0.524,-9.016,0.0502,0.112,0,0.203,0.553,83.97,160191
Gravity (feat. Tyler, The Creator),Brent Faiyaz,80,Gravity (feat. Tyler, The Creator),0.539,0.615,-8.746,0.252,0.173,0.0056,0.144,0.493,163.924,214693
motive (with Doja Cat),Ariana Grande,87,Positions (Deluxe),0.789,0.742,-5.664,0.0652,0.0681,0,0.166,0.661,116.965,167990
Feel Your Love,Yusuf Alev,46,Feel Your Love,0.68,0.778,-6.294,0.0433,0.0705,0,0.31,0.511,124.981,172714
Lost on You,sad girls,48,Lost on You,0.599,0.692,-4.43,0.0739,0.124,0,0.375,0.307,121.796,144349
Good Days,SZA,82,Good Days,0.436,0.655,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204
What You Know Bout Love,Pop Smoke,83,Shoot For The Stars Aim For The Moon,0.709,0.548,-8.493,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000
Rude Boy,YES YES,54,Rude Boy,0.739,0.734,-6.062,0.259,0.0242,0,0.0921,0.471,101.995,174858
WAP (feat. Megan Thee Stallion),Cardi B,81,WAP (feat. Megan Thee Stallion),0.935,0.454,-7.509,0.375,0.0194,0,0.0824,0.357,133.073,187541
Savage Love (Laxed - Siren Beat),Jawsh 685,63,Savage Love (Laxed - Siren Beat),0.767,0.481,-8.52,0.0803,0.234,0,0.269,0.761,150.076,171375
dirty laundry,blackbear,80,deadroses,0.766,0.64,-8.899,0.0345,0.051,0,0.237,0.67,100.044,165600
HOLIDAY,Lil Nas X,81,HOLIDAY,0.81,0.511,-6.924,0.164,0.12,0,0.0832,0.837,151.947,154998
WITHOUT YOU,The Kid LAROI,83,F*CK LOVE (SAVAGE),0.662,0.413,-7.357,0.0299,0.213,0,0.134,0.467,93.005,161385
Fly,Alex D'Rosso,56,Fly,0.676,0.842,-5.98,0.239,0.0578,0.00137,0.209,0.388,140.142,134857
ROCKSTAR (feat. Roddy Ricch),DaBaby,82,BLAME IT ON BABY,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,181733
34+35,Ariana Grande,87,Positions,0.83,0.585,-6.476,0.094,0.237,0,0.248,0.485,109.978,173711
Rover (feat. DTG),S1mba,64,Rover (feat. DTG),0.613,0.624,-6.66,0.206,0.496,0,0.283,0.803,62.948,167917
Put Your Records On,Ritt Momney,60,Put Your Records On,0.399,0.492,-10.777,0.0538,0.058,0.00101,0.11,0.159,91.066,210463
Mood Swings (feat. Lil Tjay),Pop Smoke,83,Shoot For The Stars Aim For The Moon,0.48,0.602,-6.335,0.368,0.487,0,0.0848,0.269,179.798,213333
Therefore I Am,Billie Eilish,88,Therefore I Am,0.889,0.34,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009,174321
Wild & Free,Nander,37,Wild & Free,0.474,0.722,-6.209,0.0355,0.0604,0,0.584,0.274,155.941,149231
Glad You Came,Braaheim,59,Glad You Came,0.732,0.919,-4.634,0.115,0.0271,0.000866,0.375,0.136,125.997,190879
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,83,Shoot For The Stars Aim For The Moon,0.823,0.586,-6.606,0.2,0.114,0,0.193,0.347,125.971,190476
Backyard Boy,Claire Rosinkranz,63,BeVerly Hills BoYfRiEnd,0.819,0.642,-7.037,0.189,0.336,0,0.0735,0.452,138.026,129241
TKN (feat. Travis Scott),ROSALÍA,83,TKN (feat. Travis Scott),0.776,0.509,-6.266,0.467,0.192,1.49e-06,0.115,0.485,94.634,129371
Say It Right,Coopex,60,Say It Right,0.712,0.816,-6.56,0.0447,0.152,0.0519,0.24,0.449,125.976,128095
Without You,Baby Bluu,31,Without You,0.625,0.698,-5.804,0.146,0.0107,0,0.156,0.204,120.119,132625
Play Date,Melanie Martinez,78,Cry Baby (Deluxe Edition),0.68,0.729,-5.077,0.0475,0.612,0,0.224,0.446,123.97,179867
Freak,Doja Cat,88,Freak,0.688,0.716,-5.702,0.0385,0.0969,0,0.0989,0.373,116.912,284480
Falling Down,Andrew Nagy,32,Falling Down,0.574,0.852,-9.051,0.0438,0.032,0.0705,0.136,0.0363,123.005,165854
Wait a Minute!,WILLOW,76,ARDIPITHECUS,0.764,0.705,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,53,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],0.824,0.854,-5.312,0.177,0.016,4.95e-05,0.117,0.896,95.114,210329
Over You,Myrrhe,26,Over You,0.863,0.325,-7.864,0.341,0.667,1.71e-05,0.1,0.537,98.948,126314
FLIP THE SWITCH (feat. Drake),Quavo,79,QUAVO HUNCHO,0.853,0.637,-5.924,0.331,0.129,0,0.267,0.496,86.048,156195
The Boss,Coopex,60,The Boss,0.734,0.789,-5.328,0.243,0.0809,0.000115,0.215,0.258,125.992,133810
Party Girl,StaySolidRocky,59,Party Girl,0.728,0.431,-9.966,0.0622,0.749,0,0.0996,0.629,130.022,147800
Love Me Again,CPX,52,Love Me Again,0.798,0.824,-5.642,0.413,0.206,0.000308,0.436,0.242,125.0,134400
Renee,SALES,61,Renee,0.924,0.386,-8.183,0.0548,0.755,0.00253,0.118,0.424,108.957,179125
Don't Rush (feat. Headie One),Young T & Bugsey,60,Don't Rush (feat. Headie One),0.961,0.461,-8.684,0.27,0.202,0.00402,0.162,0.324,108.028,207640
Right Here Waiting,Boostereo,52,Right Here Waiting,0.639,0.704,-7.332,0.0352,0.0646,0,0.445,0.285,115.052,180522
THE SCOTTS,THE SCOTTS,58,THE SCOTTS,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,165978
Cool for the Summer,Alex D'Rosso,56,Cool for the Summer,0.805,0.871,-5.716,0.286,0.177,7.5e-06,0.266,0.443,136.01,171696
Kiss Me,Lucas Estrada,63,Kiss Me,0.588,0.685,-8.08,0.0624,0.374,0.000155,0.581,0.122,107.938,146669
Red Flag,Pia Baris,18,Red Flag,0.715,0.706,-5.804,0.383,0.326,0.000231,0.525,0.348,126.069,137431
One too Many Times,JRL,44,One Too Many Times,0.721,0.778,-6.53,0.0459,0.00262,7.29e-05,0.111,0.449,122.023,141636
Boys Ain't Shit,SAYGRACE,58,Boys Ain't Shit,0.826,0.615,-4.729,0.137,0.435,0.00631,0.334,0.841,102.999,175884
Boss Bitch,Doja Cat,88,Boss Bitch,0.707,0.955,-4.593,0.222,0.127,0,0.202,0.575,125.989,134240
Only Girl,Coopex,60,Only Girl,0.792,0.832,-4.406,0.0397,0.367,0.00164,0.198,0.186,127.983,146465
Tap In,Saweetie,73,Tap In,0.954,0.696,-7.117,0.204,0.00576,0.000498,0.0754,0.432,100.036,139413
Forever,Gianni Blu,46,Forever,0.753,0.75,-4.314,0.0817,0.00421,3.47e-05,0.0775,0.266,124.998,167040
Rather Be,Cabuizee,40,Rather Be,0.706,0.895,-3.879,0.148,0.299,0,0.48,0.556,120.978,163884
Savage,Megan Thee Stallion,82,Suga,0.843,0.741,-5.609,0.334,0.0252,0,0.096,0.68,168.983,155497
Blueberry Faygo,Lil Mosey,70,Certified Hitmaker,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,162547
Break My Heart,Dua Lipa,88,Future Nostalgia,0.73,0.729,-3.434,0.0884,0.167,1.39e-06,0.349,0.467,113.011,221820
On My Way,Alex Alexander,46,On My Way,0.67,0.544,-5.506,0.0252,0.0429,0,0.0926,0.772,96.039,200840
Astronomia,Vicetone,63,Astronomia,0.653,0.945,-2.634,0.096,0.00561,0.915,0.439,0.325,126.093,198095
The Box,Roddy Ricch,80,Please Excuse Me for Being Antisocial,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,196653
What's up?,LeXxìv,32,What's up?,0.641,0.597,-7.06,0.033,0.000399,0,0.367,0.394,120.06,186000
Supalonely,BENEE,67,STELLA & STEVE,0.863,0.631,-4.689,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480
Toosie Slide,Drake,95,Dark Lane Demo Tapes,0.83,0.49,-8.82,0.209,0.289,3.04e-06,0.113,0.845,81.604,247059
Don't Start Now,Dua Lipa,88,Don't Start Now,0.794,0.793,-4.521,0.0842,0.0125,0,0.0952,0.677,123.941,183290
Be Kind (with Halsey),Marshmello,83,Be Kind (with Halsey),0.63,0.633,-7.088,0.0457,0.00776,0,0.0541,0.452,93.995,172762
Intentions (feat. Quavo),Justin Bieber,90,Changes,0.806,0.546,-6.637,0.0575,0.3,0,0.102,0.874,147.986,212867
Old Times,Xtinctor,21,Old Times,0.581,0.718,-5.631,0.0851,0.0195,0,0.075,0.149,92.992,184516
Hey, Soul Sister,LANDR,41,Hey, Soul Sister,0.642,0.725,-7.89,0.0571,0.192,0,0.153,0.134,105.101,196583
Later Bitches,The Prince Karma,50,Later Bitches,0.769,0.518,-6.563,0.102,0.000573,0.108,0.342,0.504,121.116,247976
Life Is Good (feat. Drake),Future,87,Life Is Good (feat. Drake),0.676,0.609,-5.831,0.481,0.0706,0,0.152,0.508,142.037,237735
WHATS POPPIN,Jack Harlow,84,WHATS POPPIN,0.923,0.604,-6.671,0.245,0.017,0,0.272,0.826,145.062,139741
Let Her Go,LANDR,41,Let Her Go,0.712,0.803,-7.206,0.0276,0.00537,9.81e-05,0.307,0.308,120.018,201005
Sunday Best,Surfaces,71,Where the Light Is,0.878,0.525,-6.832,0.0578,0.183,0,0.0714,0.694,112.022,158571
DÁKITI,Dame Dame,48,DÁKITI,0.726,0.815,-5.092,0.101,0.206,0,0.631,0.627,121.975,147367
Say So,Doja Cat,88,Hot Pink,0.787,0.673,-4.583,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893
In Your Eyes,The Weeknd,93,After Hours,0.667,0.719,-5.371,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,237520
Falling,Trevor Daniel,66,Falling,0.785,0.431,-8.756,0.0364,0.123,0,0.0887,0.236,127.085,159382
Let It Go,Dame Dame,48,Let It Go,0.769,0.796,-7.37,0.0564,0.0279,1.97e-06,0.0871,0.681,122.039,130286
death bed (coffee for your head),Powfu,71,death bed (coffee for your head),0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,173333
That Way,Lil Uzi Vert,85,That Way,0.719,0.611,-5.01,0.0403,0.0582,0,0.155,0.489,129.962,212354
Baby I'm Yours,Breakbot,57,By Your Side,0.829,0.792,-3.755,0.0668,0.726,5.83e-06,0.122,0.758,118.05,215507
BOP,DaBaby,82,KIRK,0.769,0.787,-3.909,0.367,0.189,0,0.129,0.836,126.77,159715
OUT WEST (feat. Young Thug),JACKBOYS,65,JACKBOYS,0.802,0.591,-4.895,0.225,0.0104,0,0.196,0.309,139.864,157712
Blinding Lights,The Weeknd,93,Blinding Lights,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573
When the Sun Goes Down,Martin van Lectro,39,When the Sun Goes Down,0.544,0.748,-5.556,0.0865,0.0646,0,0.519,0.391,123.752,148999
Skechers,DripReport,54,Skechers,0.907,0.332,-9.828,0.0836,0.326,0.0168,0.109,0.277,99.998,106031
ROXANNE,Arizona Zervas,66,ROXANNE,0.621,0.601,-5.616,0.148,0.0522,0,0.46,0.457,116.735,163636
Shooting Stars,Bag Raiders,53,Bag Raiders (Deluxe),0.649,0.716,-6.232,0.0445,0.0879,0.03,0.0824,0.503,124.968,235813
The Git Up,Blanco Brown,60,The Git Up,0.847,0.678,-8.635,0.109,0.0669,0,0.274,0.811,97.984,200594
Payphone,Faruk Orman,43,Payphone,0.721,0.707,-7.953,0.224,0.563,6.4e-06,0.338,0.462,125.07,128825
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),0.798,0.675,-5.041,0.0442,0.0912,0,0.0894,0.842,101.956,219947
hot girl bummer,blackbear,80,hot girl bummer,0.778,0.559,-7.109,0.0776,0.128,0,0.399,0.678,129.989,185093
Demons,CPX,52,Demons,0.7,0.848,-5.473,0.217,0.317,0,0.349,0.29,124.056,129693
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,85,Red Pill Blues (Deluxe),0.851,0.541,-6.825,0.0505,0.568,0,0.13,0.448,124.959,235545
Without Me,Halsey,83,Without Me,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661
Plug Walk,Rich The Kid,67,The World Is Yours,0.876,0.519,-6.531,0.143,0.202,0,0.108,0.158,94.981,175230
California Dreaming,Jorm,42,California Dreaming,0.717,0.865,-4.126,0.0307,0.0222,0.0012,0.605,0.487,124.048,152323
Rockstar,Ilkay Sencan,61,Rockstar,0.771,0.826,-3.978,0.0604,0.142,0.03,0.145,0.185,100.012,212280
Falling for U,Peachy!,57,Falling for U,0.516,0.358,-12.018,0.424,0.743,1.3e-06,0.0813,0.397,79.509,124000
Lovely,Alfons,58,Lovely,0.504,0.677,-6.954,0.064,0.316,0.00127,0.268,0.0375,128.078,159023
The Less I Know The Better,Tame Impala,78,Currents,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320
Dandelions,Ruth B.,75,Safe Haven,0.609,0.692,-2.958,0.0259,0.0157,0,0.0864,0.454,116.959,233720
Jimmy Cooks (feat. 21 Savage),Drake,95,Honestly, Nevermind,0.529,0.673,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365
Good Looking,Suki Waterhouse,64,Good Looking,0.377,0.558,-9.076,0.0299,0.0789,0.000342,0.125,0.267,149.971,214800
INFERNO,Sub Urban,67,INFERNO,0.82,0.611,-5.02,0.122,0.0766,2.5e-05,0.0684,0.637,127.883,133134
,,,,,,,,,,,,,
